,route,variation_0_1_degree,variation_1_5_degree,variation_5_10_degree,variation_10_30_degree,variation_30_50_degree,variation_50_90_degree,variation_90_degree
0,1018-10-0,64,129,67,75,8,5,5
1,1026-10-0,34,71,34,35,7,9,9
2,106A-10-0,88,123,60,40,8,7,11
3,107T-10-0,102,155,60,68,15,6,11
4,1177-10-0,126,228,112,90,11,11,7
5,1178-10-0,219,356,174,129,10,8,24
6,148L-10-0,121,210,123,132,24,13,12
7,1709-10-0,62,122,62,69,10,13,14
8,1720-10-0,136,190,73,85,8,14,40
9,172K-10-0,135,192,103,99,16,10,15
10,172R-10-0,104,111,54,74,12,18,10
11,172U-10-0,165,248,110,95,7,21,14
12,172X-10-0,41,58,25,25,9,4,6
13,1732-10-0,126,163,84,94,14,12,10
14,1741-10-0,89,110,71,67,14,7,9
15,1745-10-0,98,137,40,53,9,7,9
16,1756-10-0,94,110,72,66,11,15,14
17,1758-10-0,80,129,72,87,6,8,6
18,1759-10-0,74,111,66,63,6,5,10
19,175P-10-0,106,147,86,57,11,20,8
20,175T-10-0,93,226,126,91,15,3,18
21,1767-10-0,81,93,37,42,10,8,5
22,1772-10-0,101,224,101,87,19,11,15
23,177H-10-0,137,165,81,98,16,30,21
24,177Y-10-0,28,47,24,23,2,2,2
25,1780-10-0,56,104,51,40,9,9,6
26,1787-10-0,56,96,48,38,7,4,3
27,1788-10-0,103,198,127,96,5,11,6
28,178L-10-0,109,139,98,82,12,16,8
29,178Y-10-0,65,73,48,54,7,14,12
30,179X-10-0,170,279,127,112,16,23,10
31,2007-10-0,66,80,37,32,4,6,13
32,2008-10-0,19,51,15,10,4,2,3
33,2010-10-0,125,89,21,31,10,13,8
34,2011-10-0,107,114,59,57,2,11,6
35,2016-10-0,80,117,25,19,5,9,15
36,2019-10-0,37,111,38,44,2,13,14
37,2020-10-0,87,182,88,89,16,0,13
38,2021-10-0,29,23,10,14,1,10,8
39,2025-10-0,93,143,84,87,5,6,7
40,2026-10-0,122,85,36,43,12,12,9
41,2029-10-0,98,128,62,75,13,12,10
42,2031-10-0,179,176,63,50,15,10,17
43,2059-10-0,58,83,53,41,4,5,5
44,2088-10-0,213,183,54,40,16,10,20
45,208V-10-0,113,158,90,60,3,9,10
46,2100-10-0,76,129,67,63,8,5,13
47,2127-10-0,135,163,67,73,13,14,10
48,2182-10-0,111,112,54,83,17,22,12
49,2203-10-0,59,94,36,33,2,10,20
50,2363-10-0,96,141,92,87,7,9,8
51,2435-10-0,42,113,52,40,2,16,7
52,2451-10-0,49,92,45,35,8,14,4
53,2460-10-0,53,31,10,11,2,2,1
54,2523-10-0,66,49,26,30,6,5,11
55,253F-10-0,128,207,153,132,11,21,25
56,2582-10-0,232,308,153,67,5,12,22
57,2583-10-0,125,185,115,65,3,13,13
58,2590-10-0,209,271,119,53,6,9,10
59,2708-10-0,76,103,52,63,7,7,6
60,2711-10-0,22,27,11,5,1,8,6
61,2715-10-0,39,54,40,29,3,11,16
62,2718-10-0,75,87,40,21,3,15,7
63,2719-10-0,68,76,50,31,5,4,4
64,271A-10-0,124,156,99,90,16,10,20
65,271P-10-0,92,135,61,46,4,13,10
66,2726-10-0,68,110,67,52,2,10,16
67,2731-10-0,65,70,58,49,8,9,4
68,273J-10-0,184,165,64,69,12,19,10
69,273V-10-0,80,154,86,79,7,16,15
70,2762-10-0,151,183,90,61,10,15,11
71,2765-10-0,80,111,76,84,10,10,5
72,2766-10-0,142,188,79,59,11,9,7
73,2769-10-0,191,214,94,73,5,20,6
74,3006-10-0,22,14,7,18,3,7,9
75,3021-10-0,88,86,26,20,1,6,2
76,3024-10-0,60,85,62,37,4,6,12
77,3027-10-0,99,145,86,59,10,8,16
78,3029-10-0,76,110,56,46,7,9,23
79,3069-10-0,42,152,135,148,12,5,3
80,3099-10-0,71,84,43,46,1,4,11
81,3141-10-0,144,198,125,68,7,1,12
82,314V-10-0,105,126,37,38,10,10,8
83,3160-10-0,44,54,23,45,9,5,15
84,342C-10-0,53,131,83,94,8,19,35
85,352A-10-0,131,175,80,78,5,11,12
86,354M-10-0,127,182,111,52,10,13,7
87,364A-10-0,137,196,95,96,11,11,37
88,3686-10-0,152,260,138,119,15,9,18
89,3712-10-0,67,99,54,40,7,8,16
90,3721-10-0,38,62,36,61,8,9,22
91,3729-10-0,92,107,51,45,15,9,19
92,372U-10-0,62,98,51,67,9,9,14
93,3731-10-0,49,59,29,33,4,4,23
94,3734-10-0,25,43,27,26,3,3,15
95,3738-10-0,78,121,84,73,13,17,14
96,373T-10-0,124,139,60,78,18,16,28
97,3745-10-0,96,135,72,63,9,11,26
98,3746-10-0,81,117,58,46,11,4,9
99,374M-10-0,86,138,93,59,12,8,4
100,374V-10-0,45,48,37,30,9,9,8
101,3761-10-0,79,181,104,45,9,5,16
102,3778-10-0,78,94,41,50,12,7,17
103,3791-10-0,41,57,28,19,2,3,15
104,3795-10-0,85,134,105,104,15,10,27
105,3901-10-0,57,94,57,59,8,15,9
106,4001-10-0,52,108,60,45,9,13,10
107,4003-10-0,67,124,49,51,4,3,10
108,4010-10-0,55,70,36,33,4,5,7
109,4011-10-0,50,121,67,32,3,6,2
110,4017-10-0,60,87,45,75,13,11,20
111,4018-10-0,87,141,73,43,2,4,6
112,4024-10-0,48,82,34,33,5,4,11
113,407G-10-0,101,159,110,58,8,10,17
114,407J-10-0,171,217,108,130,15,15,17
115,407L-10-0,123,238,119,162,15,18,42
116,407W-10-0,85,128,66,59,6,13,23
117,408A-10-0,48,61,39,50,11,13,26
118,4210-10-0,127,266,152,79,6,6,14
119,4221-10-0,71,146,89,116,13,7,15
120,4310-10-0,120,166,103,57,3,3,5
121,4311-10-0,100,199,140,54,6,2,17
122,4314-10-0,138,280,132,81,14,10,21
123,4708-10-0,38,89,42,58,3,3,21
124,4734-10-0,29,58,45,49,1,4,16
125,475R-10-0,76,152,61,84,13,12,30
126,476A-10-0,154,114,44,38,3,14,6
127,478P-10-0,106,118,49,72,14,9,34
128,5012-10-0,56,146,106,117,16,6,29
129,5013-10-0,73,126,75,59,5,11,13
130,5015-10-0,57,97,56,51,5,8,18
131,5018-10-0,64,133,89,87,7,13,22
132,5021-10-0,41,47,16,18,3,4,15
133,5022-10-0,16,45,28,31,0,1,9
134,5024-10-0,68,104,66,60,3,9,13
135,5029-10-0,28,51,25,28,4,4,14
136,502J-10-0,116,179,102,76,16,10,44
137,5030-10-0,47,72,34,76,9,9,28
138,5036-10-0,43,92,44,67,6,6,37
139,507T-10-0,88,128,56,51,10,8,26
140,509M-10-0,84,190,74,49,6,3,17
141,5105-10-0,30,35,23,14,1,1,4
142,5106-10-0,97,207,104,86,8,10,43
143,5107-10-0,54,49,28,23,5,6,16
144,5108-10-0,70,93,58,69,12,8,34
145,5119-10-0,144,153,85,83,12,12,21
146,5123-10-0,55,113,51,29,1,4,19
147,5128-10-0,73,164,105,93,9,8,29
148,5141-10-0,146,169,89,53,13,9,14
149,5142-10-0,111,204,141,144,14,17,29
150,5143-10-0,92,163,104,55,3,2,14
151,5144-10-0,153,159,70,43,11,12,25
152,5290-10-0,83,144,69,44,4,8,28
153,5317-10-0,105,228,105,102,10,7,26
154,5370-10-0,123,258,102,54,13,6,30
155,5391-10-0,104,211,80,62,9,5,9
156,546J-10-0,58,94,58,49,4,9,20
157,5632-10-0,111,210,83,81,15,4,35
158,5701-10-0,66,83,34,40,3,8,15
159,574A-10-0,62,92,59,41,2,3,27
160,574C-10-0,83,140,84,73,3,10,9
161,574R-10-0,113,149,61,40,8,5,13
162,5757-10-0,38,103,45,46,8,3,15
163,576M-10-0,110,182,119,121,8,3,32
164,577T-10-0,75,143,54,47,6,8,25
165,6001-10-0,59,76,37,30,5,8,3
166,6003-10-0,54,82,56,32,2,4,9
167,6013-10-0,65,144,81,73,5,5,19
168,6015-10-0,82,184,87,60,3,4,15
169,6022-10-0,82,166,85,61,4,6,20
170,6027-10-0,69,114,73,54,5,6,18
171,6028-10-0,74,139,93,66,10,6,16
172,6030-10-0,68,147,65,60,10,5,24
173,6031-10-0,73,102,85,62,3,7,19
174,6034-10-0,56,145,61,24,1,7,9
175,6036-10-0,61,171,101,55,4,8,12
176,6037-10-0,54,136,85,56,3,11,4
177,6041-10-0,56,139,72,52,5,8,10
178,6042-10-0,57,122,79,53,6,4,10
179,6043-10-0,45,81,36,46,8,5,14
180,6046-10-0,51,137,70,52,5,6,9
181,6048-10-0,52,123,56,35,4,6,7
182,6052-10-0,31,53,34,19,1,5,9
183,6056-10-0,47,98,47,56,7,9,19
184,6058-10-0,49,71,57,34,2,5,10
185,6063-10-0,32,54,34,25,4,3,6
186,6071-10-0,70,132,89,112,12,10,25
187,6074-10-0,84,228,111,67,2,3,20
188,6075-10-0,34,78,27,33,3,5,15
189,607G-10-0,151,140,77,89,10,15,36
190,6092-10-0,65,133,80,55,8,6,25
191,6093-10-0,102,229,127,118,5,6,34
192,609F-10-0,83,163,98,76,9,7,15
193,6200-10-0,101,120,67,38,5,2,7
194,637G-10-0,124,238,109,54,8,4,41
195,6450-10-0,99,149,79,40,3,8,14
196,675G-10-0,113,280,118,72,2,8,25
197,675I-10-0,87,124,44,32,4,7,12
198,675R-10-0,102,237,107,100,7,11,32
199,6803-10-0,30,62,50,29,2,7,15
200,6805-10-0,26,65,35,33,5,3,6
201,6820-10-0,31,94,64,40,7,9,3
202,6823-10-0,46,128,66,58,7,6,18
203,6825-10-0,21,123,59,28,4,3,4
204,6835-10-0,35,87,47,41,11,6,15
205,6836-10-0,60,111,52,48,5,5,9
206,6837-10-0,37,88,57,64,13,20,16
207,6840-10-0,81,153,92,69,6,6,27
208,6913-10-0,123,236,104,50,5,5,25
209,695H-10-0,102,244,113,78,4,7,29
210,6960-10-0,75,160,61,34,2,4,16
211,7013-10-0,41,109,97,70,11,6,25
212,7016-10-0,59,125,76,70,9,8,16
213,701U-10-0,122,189,72,156,26,21,18
214,702C-10-0,92,172,76,79,11,19,9
215,702U-10-0,95,126,47,85,21,15,10
216,7055-10-0,60,138,87,60,7,8,20
217,7062-10-0,34,41,25,19,4,4,7
218,709G-10-0,159,172,84,72,8,8,23
219,709P-10-0,68,122,73,61,8,4,17
220,719R-10-0,76,111,53,50,9,8,9
221,736G-10-0,46,75,43,43,7,6,5
222,737A-10-0,56,101,49,43,5,3,5
223,7458-10-0,86,155,82,86,13,10,12
224,7545-10-0,70,159,78,81,7,8,11
225,7600-10-0,57,115,58,22,2,4,21
226,775P-10-0,55,151,57,83,15,11,15
227,778J-10-0,92,184,109,99,10,11,16
228,8002-10-0,122,168,95,115,17,16,18
229,8006-10-0,74,192,173,164,10,5,10
230,8043-10-0,118,168,98,117,12,16,19
231,807J-10-0,53,117,71,66,7,10,9
232,807M-10-0,71,130,67,87,11,16,21
233,809P-10-0,66,115,66,44,5,5,9
234,809T-10-0,108,172,83,101,15,10,12
235,809U-10-0,64,106,57,89,10,20,18
236,8194-10-0,115,277,183,164,16,15,23
237,8300-10-0,69,106,46,34,6,5,6
238,847J-10-0,153,297,187,196,23,8,10
239,8542-10-0,137,214,118,111,26,12,21
240,8544-10-0,175,322,218,242,21,10,13
241,8549-10-0,154,263,161,112,20,14,9
242,857A-10-0,89,145,102,51,7,8,8
243,857C-10-0,89,172,125,84,17,6,14
244,857P-10-0,81,162,67,37,6,6,5
245,8594-10-0,143,257,156,172,23,10,13
246,8605-10-0,67,158,78,48,3,7,3
247,8622-10-0,127,224,120,90,14,6,13
248,875A-10-0,100,112,53,50,10,9,38
249,875H-10-0,83,75,23,21,2,12,7
250,875P-10-0,54,66,29,27,6,5,3
251,888P-10-0,88,264,162,153,28,16,28
252,9004-10-0,36,66,62,37,4,5,6
253,9005-10-0,55,104,80,71,3,7,9
254,9006-10-0,19,62,49,37,9,5,6
255,9008-10-0,52,133,100,73,6,1,2
256,9012-10-0,66,121,57,76,15,11,4
257,9018-10-0,31,41,21,24,2,3,2
258,9020-10-0,43,69,43,44,8,6,10
259,9023-10-0,65,200,155,188,15,7,9
260,9051-10-0,24,46,39,56,6,9,5
261,9191-10-0,116,220,112,140,16,27,16
262,930P-10-0,55,69,32,42,9,6,14
263,938L-10-0,61,87,39,17,3,6,1
264,948A-10-0,132,183,97,106,9,9,11
265,9717-10-0,108,182,126,105,12,15,16
266,9784-10-0,101,169,109,108,8,11,4
267,9785-10-0,94,173,104,127,19,21,10
268,9789-10-0,95,159,88,95,15,17,15
