,route,elevation
0,1018-10-0,83.50372314453125
1,1026-10-0,61.31817626953125
2,106A-10-0,60.7003173828125
3,107T-10-0,78.76092529296875
4,1177-10-0,64.9752197265625
5,1178-10-0,61.2562255859375
6,148L-10-0,87.95477294921875
7,1709-10-0,46.93707275390625
8,1720-10-0,107.35955810546875
9,172K-10-0,82.19189453125
10,172R-10-0,36.46624755859375
11,172U-10-0,84.402587890625
12,172X-10-0,34.592529296875
13,1732-10-0,64.91864013671875
14,1741-10-0,57.41357421875
15,1745-10-0,71.6815185546875
16,1756-10-0,85.5472412109375
17,1758-10-0,83.5006103515625
18,1759-10-0,103.51904296875
19,175P-10-0,95.735107421875
20,175T-10-0,90.2113037109375
21,1767-10-0,67.66229248046875
22,1772-10-0,88.6683349609375
23,177H-10-0,97.62640380859375
24,177Y-10-0,62.99798583984375
25,1780-10-0,49.3577880859375
26,1787-10-0,93.6055908203125
27,1788-10-0,79.42095947265625
28,178L-10-0,99.4974365234375
29,178Y-10-0,68.91510009765625
30,179X-10-0,91.52496337890625
31,2007-10-0,66.02691650390625
32,2008-10-0,71.98724365234375
33,2010-10-0,62.84033203125
34,2011-10-0,75.08282470703125
35,2016-10-0,57.547119140625
36,2019-10-0,91.97198486328125
37,2020-10-0,67.91278076171875
38,2021-10-0,80.41265869140625
39,2025-10-0,67.010986328125
40,2026-10-0,30.20245361328125
41,2029-10-0,41.20977783203125
42,2031-10-0,57.566650390625
43,2059-10-0,66.42315673828125
44,2088-10-0,61.2010498046875
45,208V-10-0,82.0146484375
46,2100-10-0,71.28070068359375
47,2127-10-0,75.5093994140625
48,2182-10-0,36.6612548828125
49,2203-10-0,72.138916015625
50,2363-10-0,69.634033203125
51,2435-10-0,93.65380859375
52,2451-10-0,79.93194580078125
53,2460-10-0,48.627197265625
54,2523-10-0,47.77337646484375
55,253F-10-0,127.334716796875
56,2582-10-0,42.53167724609375
57,2583-10-0,48.7955322265625
58,2590-10-0,29.0762939453125
59,2708-10-0,57.56976318359375
60,2711-10-0,39.00128173828125
61,2715-10-0,36.3555908203125
62,2718-10-0,37.50103759765625
63,2719-10-0,47.12322998046875
64,271A-10-0,78.8079833984375
65,271P-10-0,60.4395751953125
66,2726-10-0,55.04742431640625
67,2731-10-0,43.98052978515625
68,273J-10-0,65.73309326171875
69,273V-10-0,80.42205810546875
70,2762-10-0,39.0726318359375
71,2765-10-0,63.69281005859375
72,2766-10-0,74.238525390625
73,2769-10-0,46.24493408203125
74,3006-10-0,45.7452392578125
75,3021-10-0,78.05035400390625
76,3024-10-0,59.81793212890625
77,3027-10-0,75.5389404296875
78,3029-10-0,59.92999267578125
79,3069-10-0,97.44140625
80,3099-10-0,58.708251953125
81,3141-10-0,122.5928955078125
82,314V-10-0,69.10986328125
83,3160-10-0,66.8160400390625
84,342C-10-0,54.09246826171875
85,352A-10-0,91.41998291015625
86,354M-10-0,80.64599609375
87,364A-10-0,87.86346435546875
88,3686-10-0,80.639892578125
89,3712-10-0,46.77783203125
90,3721-10-0,78.3663330078125
91,3729-10-0,73.22174072265625
92,372U-10-0,53.057861328125
93,3731-10-0,33.73779296875
94,3734-10-0,53.2913818359375
95,3738-10-0,90.85943603515625
96,373T-10-0,83.1812744140625
97,3745-10-0,71.83349609375
98,3746-10-0,76.98309326171875
99,374M-10-0,57.74664306640625
100,374V-10-0,32.9261474609375
101,3761-10-0,69.787841796875
102,3778-10-0,102.1744384765625
103,3791-10-0,77.92156982421875
104,3795-10-0,54.6021728515625
105,3901-10-0,70.2138671875
106,4001-10-0,72.82647705078125
107,4003-10-0,76.7613525390625
108,4010-10-0,86.994384765625
109,4011-10-0,57.80914306640625
110,4017-10-0,118.64202880859375
111,4018-10-0,60.89764404296875
112,4024-10-0,58.1044921875
113,407G-10-0,114.51190185546875
114,407J-10-0,86.82452392578125
115,407L-10-0,85.474853515625
116,407W-10-0,68.3482666015625
117,408A-10-0,56.5748291015625
118,4210-10-0,93.46746826171875
119,4221-10-0,72.20574951171875
120,4310-10-0,77.64453125
121,4311-10-0,90.23651123046875
122,4314-10-0,94.17926025390625
123,4708-10-0,68.45001220703125
124,4734-10-0,68.61956787109375
125,475R-10-0,78.37506103515625
126,476A-10-0,71.1649169921875
127,478P-10-0,92.97576904296875
128,5012-10-0,69.0535888671875
129,5013-10-0,93.80389404296875
130,5015-10-0,78.4775390625
131,5018-10-0,86.562744140625
132,5021-10-0,71.51171875
133,5022-10-0,52.2767333984375
134,5024-10-0,65.6815185546875
135,5029-10-0,43.0877685546875
136,502J-10-0,84.94091796875
137,5030-10-0,66.3746337890625
138,5036-10-0,66.0384521484375
139,507T-10-0,99.03070068359375
140,509M-10-0,52.83685302734375
141,5105-10-0,7.11041259765625
142,5106-10-0,77.8553466796875
143,5107-10-0,42.693115234375
144,5108-10-0,97.37152099609375
145,5119-10-0,101.1749267578125
146,5123-10-0,58.66552734375
147,5128-10-0,68.56256103515625
148,5141-10-0,116.0272216796875
149,5142-10-0,118.52081298828125
150,5143-10-0,118.95111083984375
151,5144-10-0,118.1419677734375
152,5290-10-0,81.6986083984375
153,5317-10-0,64.80120849609375
154,5370-10-0,64.75341796875
155,5391-10-0,113.3333740234375
156,546J-10-0,52.9814453125
157,5632-10-0,52.40625
158,5701-10-0,78.61370849609375
159,574A-10-0,88.8482666015625
160,574C-10-0,102.543212890625
161,574R-10-0,103.8468017578125
162,5757-10-0,65.96063232421875
163,576M-10-0,115.2291259765625
164,577T-10-0,60.29681396484375
165,6001-10-0,37.08056640625
166,6003-10-0,41.02484130859375
167,6013-10-0,97.4775390625
168,6015-10-0,116.72076416015625
169,6022-10-0,113.43011474609375
170,6027-10-0,62.05645751953125
171,6028-10-0,66.3751220703125
172,6030-10-0,70.2564697265625
173,6031-10-0,54.5677490234375
174,6034-10-0,64.21844482421875
175,6036-10-0,63.1070556640625
176,6037-10-0,57.5333251953125
177,6041-10-0,66.60369873046875
178,6042-10-0,86.7822265625
179,6043-10-0,74.38348388671875
180,6046-10-0,94.25634765625
181,6048-10-0,89.4559326171875
182,6052-10-0,59.09771728515625
183,6056-10-0,44.48980712890625
184,6058-10-0,51.46917724609375
185,6063-10-0,76.22454833984375
186,6071-10-0,65.89739990234375
187,6074-10-0,87.29925537109375
188,6075-10-0,37.3607177734375
189,607G-10-0,90.09185791015625
190,6092-10-0,63.80938720703125
191,6093-10-0,63.75897216796875
192,609F-10-0,85.28131103515625
193,6200-10-0,95.951171875
194,637G-10-0,75.7286376953125
195,6450-10-0,47.76068115234375
196,675G-10-0,80.73577880859375
197,675I-10-0,87.0738525390625
198,675R-10-0,83.0511474609375
199,6803-10-0,75.7703857421875
200,6805-10-0,80.5029296875
201,6820-10-0,68.78363037109375
202,6823-10-0,72.03546142578125
203,6825-10-0,79.84234619140625
204,6835-10-0,94.38739013671875
205,6836-10-0,90.67706298828125
206,6837-10-0,51.90948486328125
207,6840-10-0,91.78515625
208,6913-10-0,56.18756103515625
209,695H-10-0,64.36590576171875
210,6960-10-0,54.9036865234375
211,7013-10-0,55.37664794921875
212,7016-10-0,99.71746826171875
213,701U-10-0,95.66326904296875
214,702C-10-0,78.917236328125
215,702U-10-0,84.51922607421875
216,7055-10-0,57.93463134765625
217,7062-10-0,67.25653076171875
218,709G-10-0,40.9884033203125
219,709P-10-0,10.51739501953125
220,719R-10-0,97.37481689453125
221,736G-10-0,75.1280517578125
222,737A-10-0,98.28167724609375
223,7458-10-0,77.588623046875
224,7545-10-0,94.907958984375
225,7600-10-0,78.53173828125
226,775P-10-0,95.87518310546875
227,778J-10-0,67.9688720703125
228,8002-10-0,73.9752197265625
229,8006-10-0,196.46820068359375
230,8043-10-0,56.9267578125
231,807J-10-0,102.963623046875
232,807M-10-0,105.59259033203125
233,809P-10-0,28.1466064453125
234,809T-10-0,71.072021484375
235,809U-10-0,90.041259765625
236,8194-10-0,123.30718994140625
237,8300-10-0,36.0799560546875
238,847J-10-0,143.16754150390625
239,8542-10-0,66.3697509765625
240,8544-10-0,143.8870849609375
241,8549-10-0,149.43231201171875
242,857A-10-0,70.619384765625
243,857C-10-0,79.4281005859375
244,857P-10-0,96.408935546875
245,8594-10-0,224.30706787109375
246,8605-10-0,96.21563720703125
247,8622-10-0,59.5816650390625
248,875A-10-0,67.59454345703125
249,875H-10-0,87.9150390625
250,875P-10-0,94.8778076171875
251,888P-10-0,100.08819580078125
252,9004-10-0,54.11126708984375
253,9005-10-0,36.991943359375
254,9006-10-0,46.9776611328125
255,9008-10-0,141.37982177734375
256,9012-10-0,52.226318359375
257,9018-10-0,21.902099609375
258,9020-10-0,49.68084716796875
259,9023-10-0,210.00830078125
260,9051-10-0,56.14404296875
261,9191-10-0,84.67864990234375
262,930P-10-0,91.156005859375
263,938L-10-0,20.54437255859375
264,948A-10-0,76.03546142578125
265,9717-10-0,66.87115478515625
266,9784-10-0,47.123291015625
267,9785-10-0,128.4609375
268,9789-10-0,150.66522216796875
